No,ID AP2P,ID  NAMA,ALAMAT,LATITUDE,LONGTITUDE,KONSTRUKSI,GARDU INDUK /TRAFO,PENYULNG,KEYPOINT,"MERK
TRAFO",NO SERI TRAFO TAHUN,TAHUN,"TIPE
TRAFO
( OD / ID )*",KAPASITAS TRAVO (KVA),JENIS PELAYANAN,STATUS OPERASI,"NAMA BENGKEL
REVISI TRAFO"
322,,GD PPG0033,Jl. Poros Trans kaltim,N3.01870,E117.22031,,,TJS 01,,Starlite,,2010,,16,UMUM,OPERASI,
323,,GD KRA0034,Karang Agung,,,,,TJS 01,,Starlite,1022171127,2010,,50,UMUM,OPERASI,
324,,GD KLB0035,Ds. Kelubir,,,,,TJS 01,,B&D,,2014,,100,UMUM,OPERASI,
325,,GD RHR0036,Ds. Ruhui Rahayu,,,,,TJS 01,,Starlite,10110822,2014,,50,UMUM,OPERASI,
326,,GD PCA0037,Ds. Panca Agung,,,,,TJS 01,,B&D,1405620,2014,,100,UMUM,OPERASI,
327,,GD RHR0038,Ds. Ruhui Rahayu,,,,,TJS 01,,B&D,1405595,2014,,100,UMUM,OPERASI,
328,,GD ADM0039,Ds. Ardi Mulyo,,,,,TJS 01,,B&D,14070021,2016,,50,UMUM,OPERASI,
329,,GD PCA0040,Ds. Panca Agung,,,,,TJS 01,,B&D,160165,2016,,100,UMUM,OPERASI,
330,,GD KLB0041,Ds. Kelubir,,,,,TJS 01,,B&D,,2007,,50,UMUM,OPERASI,
331,,GD PTK0042,Ds. Patak,3.00217,117.21636,,,TJS 01,REC PIMPING,B&D,,2007,,50,UMUM,OPERASI,
332,,GD RHR0044,Ds Ruhui Rahayu,,,,,TJS 01,,B&D,16001774,2007,,50,UMUM,OPERASI,
333,,GD PCA0044,Ds. Panca Agung,,,,,TJS 01,,B&D,,2007,,50,UMUM,OPERASI,
334,,GD KRA0045,Ds. Karang Agung,,,,,TJS 01,,B&D,170470,2017,,100,UMUM,OPERASI,
335,,GD RHR0046,Ds. Ruhui Rahayu,,,,,TJS 01,,B&D,170464,2017,,50,UMUM,OPERASI,
336,,GD MTD0047,Ds. Mentadau,,,,,TJS 01,,B&D,,2017,,50,UMUM,OPERASI,
337,,GD BGA0048,Ds. Sekatak Bengara,,,,,TJS 01,,B&D,,2017,,50,UMUM,OPERASI,
338,,GD BGA0049,Ds. Sekatak Bengara,,,,,TJS 01,,Starlite,,2017,,50,UMUM,OPERASI,
339,,GD PTN0050,Ds. Petian,,,,,TJS 01,,Starlite,,2007,,50,UMUM,OPERASI,
340,,GD MTD0051,Ds. Mentadau,,,,,TJS 01,,Starlite,,2007,,50,UMUM,OPERASI,
341,,GD KRA0053,Ds. Karang Agung,,,,,TJS 01,,Starlite,1306179,2007,,50,UMUM,OPERASI,
342,,GD MHH0001,Jl. Mara,,,,,TJS 02,,Starlite,,2005,,50,UMUM,OPERASI,
343,,GD MHI0003,Jl. Mara,,,,,TJS 02,,Starlite,,2005,,50,UMUM,OPERASI,
344,,GD MHI0004,Jl. Mara,,,,,TJS 02,,Starlite,,2005,,100,UMUM,OPERASI,
345,,GD MHI0006,Jl. Mara,,,,,TJS 02,,Starlite,,2005,,50,UMUM,OPERASI,
346,,GD MHI0007,Jl. Mara,,,,,TJS 02,,Starlite,,2005,,50,UMUM,OPERASI,
347,,GD KBRR002,Jl. Keburo,,,,,TJS 02,,Starlite,,2005,,25,UMUM,OPERASI,
348,,GD KPBB003,Jl. Kampung Baru,,,,,TJS 02,,Starlite,,2005,,50,UMUM,OPERASI,
349,,GD LSMM004,Jl Long Sam,,,,,TJS 02,,Unindo,,2005,,50,UMUM,OPERASI,
350,,GD LBHH005,Jl. Gereja,,,,,TJS 02,,B&D,,2005,,100,UMUM,OPERASI,
351,,GD KCMM006,Jl. Lem Lai,2.72607,117.131491,,,TJS 02,LBS Kilo,Starlite,42048,2005,,50,UMUM,OPERASI,
352,,GD PNRR007,Jl. Pioner,2.72213,117.136993,,,TJS 02,LBS Kilo,Trafindo,9130684,2009,,50,UMUM,OPERASI,
353,,GD SMAA008,Depan SMA,,,,,TJS 02,,Starlite,,2009,,50,UMUM,OPERASI,
354,,GD PBHH009,"Pembaharuan,long sam",,,,,TJS 02,,Starlite,,2009,,100,UMUM,OPERASI,
355,,GD BTS0010,BTS TELKOMSEL beluah,,,,,TJS 02,,Starlite,,2009,,50,UMUM,OPERASI,
356,,GD LMB0011,Long lembu,2.77798,117.09024,,,TJS 02,LBS Kilo,B&D,1307862,2013,,50,UMUM,OPERASI,
357,,GD LTG0012,long tungu,2.79516,117.07651,,,TJS 02,LBS Kilo,B&D,1510060,2015,,50,UMUM,OPERASI,
358,,GD LTG0013,long tungu,2.79345,117.0738,,,TJS 02,LBS Kilo,Sintra,8098962,2007,,50,UMUM,OPERASI,
359,,GD LSM0014,BTS XL Long Sam,,,,,TJS 02,,WELTRAF,22ABN00027,2022,,50,UMUM,OPERASI,
360,,GD SKBB001,JL. Pangeran Muda,,,,,TJS 01,LBS SEKATAK,Trafindo,11139810,2011,,50,UMUM,OPERASI,
361,,GD BKLL002,Jl. Bekiliu,,,,,TJS 01,LBS SEKATAK,Trafindo,9631025,1996,,25,UMUM,OPERASI,
362,,GD TNGG003,Jl. Tenggiling,,,,,TJS 01,LBS SEKATAK,Trafindo,5130216,2005,,50,UMUM,OPERASI,
363,,GD TNGG004,Jl. Tenggiling,,,,,TJS 01,LBS SEKATAK,B&D,1500776,2015,,100,UMUM,OPERASI,
364,,GD TGPP005,Jl. Respen Tangap,,,,,TJS 01,LBS SEKATAK,B&D,1307866,2013,,25,UMUM,OPERASI,
365,,GD PKMM006,Jl. Puskesmas,,,,,TJS 01,LBS SEKATAK,Trafindo,7134277,2007,,50,UMUM,OPERASI,
366,,GD PRSS007,Jl. Poros Kaltim,,,,,TJS 01,,Trafindo,,2007,,50,UMUM,OPERASI,
367,,GD PRSS008,"Jl. Poros Kaltim, Sekatak buji",,,,,TJS 01,LBS SEKATAK,STARLITE,410092,2004,,50,UMUM,OPERASI,
368,,GD SKBB009,"JL. Pangeran Muda, sekatak buji",,,,,TJS 01,LBS SEKATAK,B&D,1205135,2012,,160,UMUM,OPERASI,
369,,GD KDR0010,"JL.Meranti, kendari",,,,,TJS 01,LBS SEKATAK,VOLTRA,15031B0354,2007,,50,UMUM,OPERASI,
370,,GD BTS0011,JL. Puskesmas,,,,,TJS 01,LBS SEKATAK,SITRA,75722411,2007,,100,UMUM,OPERASI,
371,,GD PRS0012,"Jl. Poros Kaltim,sekatak buji",,,,,TJS 01,LBS SEKATAK,KALLLA TRAFO,17S466,2017,,100,UMUM,OPERASI,
372,,GD IPA0013,PDAM Sekatak buji,,,,,TJS 01,,KALLLA TRAFO,,2004,,100,UMUM,OPERASI,
373,,GD KSM0002,"Kasimudin keraton, Tanjung Palas",,,,,TJS 01,,Starlite,,2004,,50,UMUM,OPERASI,
374,,GD MNG0004,"Manunggal, Karang Anyar",,,,,TJS 01,,Starlite,,2004,,50,UMUM,OPERASI,
375,,GD PMK0006,"Pramuka, Gunung Putih",,,,,TJS 01,,STARLITE,42021,2004,,50,UMUM,OPERASI,
376,,GD MLM0007,"Mulawarman, Gunung Putih",,,,,TJS 01,,SINTRA,,1995,,160,UMUM,OPERASI,
377,,GD KRB0009,"Hasanudin, Kerubung",,,,,TJS 01,,Starlite,51010,1995,,50,UMUM,OPERASI,
378,,GD PDK0010,"Padat Karya, Palas Ilir",,,,,TJS 01,,Starlite,,1991,,25,UMUM,OPERASI,
379,,GD PDK0011,"Padat Karya, Palas Ilir",,,,,TJS 01,,Unindo,48630,1991,,50,UMUM,OPERASI,
380,,GD TRB0012,Teras Baru,,,,,TJS 01,,Sanghai,,1991,,25,UMUM,OPERASI,
381,,GD KMK0014,"Kimas Kertasono, Karang Anyar",,,,,TJS 01,,Unindo,,2008,,50,UMUM,OPERASI,
382,,GD PDK0015,"Padat Karya, Palas Ilir",,,,,TJS 01,,Starlite,32021,2008,,100,UMUM,OPERASI,
383,,GD KSM0016,"Kasimudin, Palas Ulu",,,,,TJS 01,,Starlite,11051,2002,,50,UMUM,OPERASI,
384,,GD PMK0017,"Pramuka, Palas Tengah",,,,,TJS 01,,Trafindo,5130218,2005,,50,UMUM,OPERASI,
385,,GD BDH0018,"Bendahara, Palas Ilir",,,,,TJS 01,,Starlite,41032,2005,,100,UMUM,OPERASI,
